,Strategy Return,SPY Buy&Hold_x,SPY Buy&Hold_y
2019-11-01,0.016624657122624432,0.00922131450146857,0.00922131450146857
2019-11-04,0.005312242415159484,0.00400965873416137,0.00400965873416137
2019-11-05,-0.0023718267220637092,-0.0011068223896657514,-0.0011068223896657514
2019-11-06,0.00019724978312158059,0.0002279284467707754,0.0002279284467707754
2019-11-07,0.00523800589786328,0.003510844552477188,0.003510844552477188
2019-11-08,0.007735645820560249,0.0024629952106201003,0.0024629952106201003
2019-11-11,0.0012639830479958239,-0.0019117608921526141,-0.0019117608921526141
2019-11-12,0.001994467890440268,0.0021058329429619604,0.0021058329429619604
2019-11-13,0.0031541192356965985,0.0003237923809003007,0.0003237923809003007
2019-11-14,0.0018170129864353225,0.0014548201485924395,0.0014548201485924395
2019-11-15,0.010140608948848108,0.0072100503066296895,0.0072100503066296895
2019-11-18,0.0034294093580174954,0.0007373613082881647,0.0007373613082881647
2019-11-19,0.005883987362398832,-0.0002884087598058471,-0.0002884087598058471
2019-11-20,-0.005109889645336112,-0.003725900452876907,-0.003725900452876907
2019-11-21,-0.005005565163638994,-0.0016101414284710458,-0.0016101414284710458
2019-11-22,-0.0024601966711132006,0.0022214819878829672,0.0022214819878829672
2019-11-25,0.012301419014281207,0.007720294560545682,0.007720294560545682
2019-11-26,-0.003606196370905803,0.002262962322046036,0.002262962322046036
2019-11-27,0.005854561808584436,0.004447783161801944,0.004447783161801944
2019-11-29,-0.005862737232189649,-0.0037155881282240344,-0.0037155881282240344
2019-12-02,-0.007742899628368155,-0.00853106647547186,-0.00853106647547186
2019-12-03,-0.007430872221831151,-0.006728828402344789,-0.006728828402344789
2019-12-04,0.005575007158940422,0.00615111918722544,0.00615111918722544
2019-12-05,0.0012409263343613629,0.0017962924276924142,0.0017962924276924142
2019-12-06,0.009112311632963574,0.009092606169728512,0.009092606169728512
2019-12-09,-0.004913517854627185,-0.0031490065240049603,-0.0031490065240049603
2019-12-10,-0.0010922618032948614,-0.0011156240879666157,-0.0011156240879666157
2019-12-11,0.003241028551949659,0.0028345120642905286,0.0028345120642905286
2019-12-12,0.009047055662365067,0.008582118145339379,0.008582118145339379
2019-12-13,0.002116995540662258,0.0005990837461746779,0.0005990837461746779
2019-12-16,0.008760187209815376,0.0068464638835683544,0.0068464638835683544
2019-12-17,-0.0007045035052873573,0.00021913558662589594,0.00021913558662589594
2019-12-18,-7.746152493172506e-05,6.233857122417419e-05,6.233857122417419e-05
2019-12-19,0.0023276983327718296,0.004090714771250781,0.004090714771250781
2019-12-20,0.004466498132249057,0.004374638218084037,0.004374638218084037
2019-12-23,0.001120902147840341,0.0015263806289187443,0.0015263806289187443
2019-12-24,0.0008765720095738375,3.146499552375559e-05,3.146499552375559e-05
2019-12-26,0.004879908748689575,0.005308846976471493,0.005308846976471493
2019-12-27,-0.00015620050963277674,-0.00024769671621527323,-0.00024769671621527323
2019-12-30,-0.005813057816419551,-0.005528370640980107,-0.005528370640980107
2019-12-31,0.0023372646549555784,0.0024263175022962713,0.0024263175022962713
2020-01-02,0.004778597238410535,0.009308151904393824,0.009308151904393824
2020-01-03,-0.0029701599259397077,-0.007600927750104347,-0.007600927750104347
2020-01-06,0.0002900820179652734,0.0038078864578512395,0.0038078864578512395
2020-01-07,0.0015873173504084225,-0.0028156829513754644,-0.0028156829513754644
2020-01-08,0.0026330735315568117,0.005315491063474731,0.005315491063474731
2020-01-09,0.005849370313342825,0.0067576843113030804,0.0067576843113030804
2020-01-10,0.00016060949590603464,-0.0028817939721985653,-0.0028817939721985653
2020-01-13,0.006830773044374193,0.0068537280897569275,0.0068537280897569275
2020-01-14,0.00021233911496313076,-0.0015258005266645114,-0.0015258005266645114
2020-01-15,-0.003413323709271966,0.0022572794522899287,0.0022572794522899287
2020-01-16,0.0035518234330708174,0.008284014206775936,0.008284014206775936
2020-01-17,0.0025814914824900557,0.0031076225240846966,0.0031076225240846966
2020-01-21,-0.004141801215182873,-0.0019600155392698326,-0.0019600155392698326
2020-01-22,0.003939708984883137,0.0001207499702662318,0.0001207499702662318
2020-01-23,0.0019394177651334327,0.0011462511382029916,0.0011462511382029916
2020-01-24,-0.009102238038180544,-0.008933054461823353,-0.008933054461823353
2020-01-27,-0.013415499534747495,-0.016159270977865958,-0.016159270977865958
2020-01-28,0.007084428561808635,0.010424877957678547,0.010424877957678547
2020-01-29,-0.00796330360011165,-0.0008264244218700867,-0.0008264244218700867
2020-01-30,0.006761263587007317,0.003240018452832061,0.003240018452832061
2020-01-31,-0.014227664794769092,-0.01832486359273755,-0.01832486359273755
2020-02-03,0.0073827491627243835,0.007401274136027425,0.007401274136027425
2020-02-04,0.02220095888019967,0.015126251689793868,0.015126251689793868
2020-02-05,0.010617056141133943,0.011481691755900414,0.011481691755900414
2020-02-06,0.005588532207359015,0.0033593179618716107,0.0033593179618716107
2020-02-07,-0.01162151748945488,-0.005344003786827756,-0.005344003786827756
2020-02-10,0.0027493500315945605,0.007437667028102446,0.007437667028102446
2020-02-11,0.007122435132456127,0.0017315541151949887,0.0017315541151949887
2020-02-12,0.011558848948482487,0.0064221366493253385,0.0064221366493253385
2020-02-13,0.0008077659450264941,-0.0010674799685492786,-0.0010674799685492786
2020-02-14,-0.0018093972084050958,0.0016007448060069152,0.0016007448060069152
2020-02-18,-0.00610824119169309,-0.0025802781946824282,-0.0025802781946824282
2020-02-19,0.00920093504396313,0.004769862575494166,0.004769862575494166
2020-02-20,-0.0043903487985496445,-0.004116862321115633,-0.004116862321115633
